idx,subset,complete,feasible,cert,boxes,peak_queue,max_depth,dom_excl,unresolved,downgrade,secs
719,"(1, 2, 11, 15, 19)",True,0,0,4111,15,24,0,0,,25.0
721,"(1, 2, 11, 16, 17)",True,0,0,3103,15,15,0,0,,16.9
725,"(1, 2, 11, 17, 18)",True,0,0,833,9,15,0,0,,4.5
726,"(1, 2, 11, 17, 19)",True,0,0,1545,11,15,0,0,,8.4
727,"(1, 2, 11, 17, 20)",True,0,0,1061,15,15,0,0,,5.7
729,"(1, 2, 11, 18, 20)",True,0,0,203,8,10,0,0,,1.1
728,"(1, 2, 11, 18, 19)",True,0,0,409,8,14,0,0,,2.2
730,"(1, 2, 11, 19, 20)",True,0,0,349,12,15,0,0,,1.9
732,"(1, 2, 12, 13, 15)",True,0,0,1915,13,14,0,0,,10.5
731,"(1, 2, 12, 13, 14)",True,0,0,2181,13,14,0,0,,11.8
733,"(1, 2, 12, 13, 16)",True,0,0,1937,13,14,0,0,,10.4
734,"(1, 2, 12, 13, 17)",True,0,0,2203,13,14,0,0,,11.8
735,"(1, 2, 12, 13, 18)",True,0,0,799,9,14,0,0,,4.3
736,"(1, 2, 12, 13, 19)",True,0,0,765,11,14,0,0,,4.1
737,"(1, 2, 12, 13, 20)",True,0,0,367,10,11,0,0,,1.9
738,"(1, 2, 12, 14, 15)",True,0,0,2977,14,16,0,0,,16.0
739,"(1, 2, 12, 14, 16)",True,0,0,2963,14,16,0,0,,16.0
741,"(1, 2, 12, 14, 18)",True,0,0,985,10,16,0,0,,5.3
724,"(1, 2, 11, 16, 20)",True,1,1,5863,31,52,0,0,,72.4
742,"(1, 2, 12, 14, 19)",True,0,0,947,11,15,0,0,,5.0
743,"(1, 2, 12, 14, 20)",True,0,0,629,14,14,0,0,,3.3
740,"(1, 2, 12, 14, 17)",True,0,0,3241,14,15,0,0,,17.5
746,"(1, 2, 12, 15, 18)",True,0,0,1265,11,17,0,0,,6.8
744,"(1, 2, 12, 15, 16)",True,0,0,3471,14,17,0,0,,18.6
747,"(1, 2, 12, 15, 19)",True,0,0,1039,11,17,0,0,,5.5
745,"(1, 2, 12, 15, 17)",True,0,0,3697,14,15,0,0,,19.9
748,"(1, 2, 12, 15, 20)",True,0,0,1021,14,16,0,0,,5.4
750,"(1, 2, 12, 16, 18)",True,0,0,1455,13,18,0,0,,7.8
751,"(1, 2, 12, 16, 19)",True,0,0,1281,12,18,0,0,,6.9
752,"(1, 2, 12, 16, 20)",True,0,0,1507,15,17,0,0,,8.1
753,"(1, 2, 12, 17, 18)",True,0,0,1683,13,15,0,0,,9.0
749,"(1, 2, 12, 16, 17)",True,0,0,3999,15,15,0,0,,21.6
754,"(1, 2, 12, 17, 19)",True,0,0,1161,11,15,0,0,,6.2
756,"(1, 2, 12, 18, 19)",True,0,0,1017,12,18,0,0,,5.5
758,"(1, 2, 12, 19, 20)",True,0,0,417,12,18,0,0,,2.2
757,"(1, 2, 12, 18, 20)",True,0,0,1061,13,21,0,0,,5.7
755,"(1, 2, 12, 17, 20)",True,0,0,2097,15,15,0,0,,11.3
760,"(1, 2, 13, 14, 16)",True,0,0,2323,13,14,0,0,,12.5
762,"(1, 2, 13, 14, 18)",True,0,0,1759,11,18,0,0,,9.5
761,"(1, 2, 13, 14, 17)",True,0,0,4669,13,15,0,0,,25.2
764,"(1, 2, 13, 14, 20)",True,0,0,745,11,13,0,0,,4.0
759,"(1, 2, 13, 14, 15)",True,0,0,6045,13,17,0,0,,32.6
763,"(1, 2, 13, 14, 19)",True,0,0,2631,14,18,0,0,,14.2
767,"(1, 2, 13, 15, 18)",True,0,0,1193,9,14,0,0,,6.4
765,"(1, 2, 13, 15, 16)",True,0,0,2165,13,14,0,0,,11.6
769,"(1, 2, 13, 15, 20)",True,0,0,755,11,13,0,0,,4.0
766,"(1, 2, 13, 15, 17)",True,0,0,3843,13,15,0,0,,20.8
710,"(1, 2, 11, 14, 15)",True,1,1,28551,22,35,0,0,,245.4
768,"(1, 2, 13, 15, 19)",True,0,0,2155,11,18,0,0,,11.6
773,"(1, 2, 13, 16, 20)",True,0,0,475,10,12,0,0,,2.5
771,"(1, 2, 13, 16, 18)",True,0,0,789,9,14,0,0,,4.2
772,"(1, 2, 13, 16, 19)",True,0,0,821,11,14,0,0,,4.4
770,"(1, 2, 13, 16, 17)",True,0,0,2317,13,14,0,0,,12.5
776,"(1, 2, 13, 17, 20)",True,0,0,591,10,12,0,0,,3.1
777,"(1, 2, 13, 18, 19)",True,0,0,555,8,14,0,0,,2.9
778,"(1, 2, 13, 18, 20)",True,0,0,331,8,13,0,0,,1.7
774,"(1, 2, 13, 17, 18)",True,0,0,1229,9,15,0,0,,6.6
779,"(1, 2, 13, 19, 20)",True,0,0,347,10,13,0,0,,1.8
775,"(1, 2, 13, 17, 19)",True,0,0,1835,12,15,0,0,,9.9
782,"(1, 2, 14, 15, 18)",True,0,0,2495,12,21,0,0,,13.5
780,"(1, 2, 14, 15, 16)",True,0,0,4317,14,17,0,0,,23.3
784,"(1, 2, 14, 15, 20)",True,0,0,1871,14,15,0,0,,10.1
781,"(1, 2, 14, 15, 17)",True,0,0,5581,14,15,0,0,,30.1
786,"(1, 2, 14, 16, 18)",True,0,0,1121,11,16,0,0,,6.0
787,"(1, 2, 14, 16, 19)",True,0,0,1193,11,16,0,0,,6.4
788,"(1, 2, 14, 16, 20)",True,0,0,1167,14,15,0,0,,6.2
785,"(1, 2, 14, 16, 17)",True,0,0,3867,14,15,0,0,,20.9
789,"(1, 2, 14, 17, 18)",True,0,0,1453,11,15,0,0,,7.8
790,"(1, 2, 14, 17, 19)",True,0,0,1959,12,15,0,0,,10.6
792,"(1, 2, 14, 18, 19)",True,0,0,733,11,15,0,0,,3.9
791,"(1, 2, 14, 17, 20)",True,0,0,1039,14,14,0,0,,5.6
793,"(1, 2, 14, 18, 20)",True,0,0,453,10,14,0,0,,2.4
794,"(1, 2, 14, 19, 20)",True,0,0,645,12,15,0,0,,3.4
783,"(1, 2, 14, 15, 19)",True,0,0,8831,19,24,0,0,,54.9
796,"(1, 2, 15, 16, 18)",True,0,0,1801,12,19,0,0,,9.7
797,"(1, 2, 15, 16, 19)",True,0,0,1729,13,19,0,0,,9.3
798,"(1, 2, 15, 16, 20)",True,0,0,1639,14,18,0,0,,8.8
799,"(1, 2, 15, 17, 18)",True,0,0,1601,11,15,0,0,,8.6
800,"(1, 2, 15, 17, 19)",True,0,0,1785,11,15,0,0,,9.6
